name,gender,ethnic,name_part,rate
Adalheid,Female,Alemannic,0,3
Adalind,Female,Alemannic,0,3
Adalswind,Female,Alemannic,0,3
Albrada,Female,Alemannic,0,3
Amalberga,Female,Alemannic,0,3
Berchta,Female,Alemannic,0,2
Berta,Female,Alemannic,0,2
Burgunda,Female,Alemannic,0,2
Engelberga,Female,Alemannic,0,2
Ermengard,Female,Alemannic,0,2
Frideruna,Female,Alemannic,0,2
Gisela,Female,Alemannic,0,2
Gisla,Female,Alemannic,0,2
Hedwig,Female,Alemannic,0,2
Heilwig,Female,Alemannic,0,2
Hildegard,Female,Alemannic,0,1
Hildeswind,Female,Alemannic,0,1
Imma,Female,Alemannic,0,1
Irmingard,Female,Alemannic,0,1
Liutgard,Female,Alemannic,0,1
Mathilda,Female,Alemannic,0,1
Oda,Female,Alemannic,0,1
Odilia,Female,Alemannic,0,1
Reginlind,Female,Alemannic,0,1
Richild,Female,Alemannic,0,1
Rotrud,Female,Alemannic,0,1
Swanehild,Female,Alemannic,0,1
Theodelinda,Female,Alemannic,0,1
Uta,Female,Alemannic,0,1
Walburga,Female,Alemannic,0,1
Wendelgard,Female,Alemannic,0,1
Wiborada,Female,Alemannic,0,1
Adalbert,Male,Alemannic,0,3
Adalgar,Male,Alemannic,0,3
Adalhard,Male,Alemannic,0,3
Adalhelm,Male,Alemannic,0,3
Adalwin,Male,Alemannic,0,3
Alamann,Male,Alemannic,0,2
Alaric,Male,Alemannic,0,2
Alboin,Male,Alemannic,0,2
Anselm,Male,Alemannic,0,2
Arnulf,Male,Alemannic,0,2
Berengar,Male,Alemannic,0,2
Berhtold,Male,Alemannic,0,2
Burchard,Male,Alemannic,0,2
Chrodebert,Male,Alemannic,0,2
Eberhard,Male,Alemannic,0,2
Erchanbold,Male,Alemannic,0,1
Folcbert,Male,Alemannic,0,1
Fridolin,Male,Alemannic,0,1
Gerold,Male,Alemannic,0,1
Giselbert,Male,Alemannic,0,1
Gottfried,Male,Alemannic,0,1
Hatto,Male,Alemannic,0,1
Hildebold,Male,Alemannic,0,1
Hrodgar,Male,Alemannic,0,1
Hugo,Male,Alemannic,0,1
Immo,Male,Alemannic,0,1
Konrad,Male,Alemannic,0,1
Landolf,Male,Alemannic,0,1
Liutfrid,Male,Alemannic,0,1
Manegold,Male,Alemannic,0,1
Otto,Male,Alemannic,0,1
Raginbert,Male,Alemannic,0,1
Rudolf,Male,Alemannic,0,1
Sigebert,Male,Alemannic,0,1
Theobald,Male,Alemannic,0,1
Ulrich,Male,Alemannic,0,1
