rating_id,display_name,component_1_trait,component_1_position,component_1_weight,component_2_trait,component_2_position,component_2_weight,component_3_trait,component_3_position,component_3_weight,component_4_trait,component_4_position,component_4_weight,component_5_trait,component_5_position,component_5_weight,component_6_trait,component_6_position,component_6_weight,disqualifier_1_trait,disqualifier_1_position,disqualifier_1_weight,disqualifier_2_trait,disqualifier_2_position,disqualifier_2_weight,notes,male_body_bonus,female_body_bonus,masculine_mind_bonus,feminine_mind_bonus
sexual_magnetism,Sexual Magnetism,mating drive,excess,1.35,persuasion,excess,1.15,wit,optimal|excess,0.9,symmetry,optimal,0.9,assertiveness,optimal,0.8,modesty,deficient,0.8,,,,,,,,,,0.05,
sexual_object,Sexual Object,attractiveness_01,high,1.35,symmetry,optimal,1.0,mating drive,optimal,0.75,friendliness,optimal,0.8,modesty,optimal,0.8,,,,,,,,,,,,,,0.05
insanity,Insanity,neurochemical,deviation,1.1,temperance,deviation,1.0,focus,deviation,0.9,curiosity,deviation,0.8,perception,deviation,0.9,,,,,,,,,,,,,,
physical_strength,Physical Strength,physical,excess,1.35,discipline,optimal|excess,0.9,resilience,optimal|excess,1.0,courage,optimal,0.75,focus,optimal,0.7,,,,,,,,,,,0.20,,0.03,
practical_intellect,Practical Intellect,intellect,optimal,1.2,perception,optimal,1.0,discipline,optimal,0.9,focus,optimal,0.9,patience,optimal,0.8,,,,creativity,excess,0.25,,,,,,,,
creative_intellect,Creative Intellect,creativity,excess,1.25,intellect,optimal,1.0,curiosity,excess,1.0,focus,optimal,0.85,adaptability,optimal,0.85,,,,,,,,,,,,,,
make_friends,Ability To Make Friends,friendliness,optimal|excess,1.2,empathy,optimal,1.0,generosity,optimal,0.9,wit,optimal,0.75,modesty,optimal,0.75,,,,,,,,,,,,,,
make_enemies,Ability To Make Enemies,assertiveness,excess,1.0,empathy,deficient,1.0,friendliness,deficient,0.9,honesty,excess,0.8,justice,excess,0.8,,,,,,,,,,,,,,
ruthless_ambition,Ruthless Ambition,ambition,excess,1.2,empathy,deficient,1.0,justice,deficient,0.9,assertiveness,excess,0.95,humility,deficient,0.8,,,,,,,,,,,,,,
good_done_desire,Desire To See Good Done,justice,optimal|excess,1.1,empathy,optimal,1.0,generosity,optimal,0.9,nurturance,optimal,0.85,civics,optimal,0.85,,,,,,,,,,,,,,
evil_done_desire,Desire To See Evil Done,empathy,deficient,1.2,justice,deficient,1.1,nurturance,deficient,0.95,honesty,deficient,0.9,assertiveness,excess,0.75,,,,,,,,,,,,,,
convince_people,Ability To Convince People,persuasion,optimal|excess,1.25,wit,optimal,0.9,friendliness,optimal,0.85,perception,optimal,0.85,assertiveness,optimal,0.8,,,,,,,,,,,,,,
disguise_motive,Ability To Disguise Motive,honesty,deficient,1.05,persuasion,optimal|excess,1.0,perception,optimal,0.95,patience,optimal,0.8,modesty,optimal,0.75,,,,,,,,,,,,,,
honest_work_desire,Desire To Do Honest Work,honesty,optimal,1.1,discipline,optimal,1.0,loyalty,optimal,0.9,patience,optimal,0.85,ambition,optimal,0.75,,,,,,,,,,,,,,
enrich_self_desire,Desire To Enrich Oneself,ambition,excess,1.15,frugality,excess,0.95,generosity,deficient,0.9,honesty,deficient,0.85,perception,optimal,0.75,,,,,,,,,,,,,,
revenge_desire,Desire For Revenge,justice,excess,1.1,loyalty,excess,0.95,focus,excess,0.95,neurochemical,deviation,0.85,patience,deficient,0.8,,,,,,,,,,,,,,
force_get_way_desire,Desire To Use Force,assertiveness,excess,1.1,courage,excess,1.0,physical,excess,0.95,empathy,deficient,0.85,temperance,deficient,0.8,,,,,,,,,,,,,,
psychopathy,Psychopathy,empathy,deficient,1.25,nurturance,deficient,1.0,justice,deficient,0.95,honesty,deficient,0.9,neurochemical,deficient,0.85,,,,,,,,,,,,,,
lie_or_cheat_willingness,Willingness To Lie Or Cheat,honesty,deficient,1.2,justice,deficient,1.0,loyalty,deficient,0.9,ambition,excess,0.8,persuasion,optimal|excess,0.75,,,,,,,,,,,,,,
lead_others_ability,Ability To Lead Others,assertiveness,optimal,1.1,persuasion,optimal,1.0,courage,optimal,0.9,discipline,optimal,0.85,civics,optimal,0.8,,,,,,,,,,,,,,
isolation_preference,Preference For Isolation,friendliness,deficient,1.1,mating drive,deficient,0.9,focus,excess,0.85,humility,excess,0.8,adaptability,deficient,0.8,,,,,,,,,,,,,,
