innovation_id,source_id,source_link,source_title,analogue_name,category,domain,era_id,history_year,history_year_from,history_year_to,rank,spreadability,complexity,starter_prevalence,prerequisite_ids,curation_status,notes
stone_tool,invsrc_0001,Timeline of historic inventions.wiki:17,Stone tool,Oldowan tool kit,craft,craft,paleolithic,-2947974,-3297974,-2597974,1,0.52,0.36,0.95,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
control_of_fire_and_cooking,invsrc_0002,Timeline of historic inventions.wiki:18,Control of fire and cooking,hearth keeping and cooking,domestic,household,paleolithic,-2297974,-2297974,-2297974,1,0.68,0.2,0.92,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
acheulean_stone_tools,invsrc_0003,Timeline of historic inventions.wiki:19,Acheulean stone tools,biface hand-axe tradition,craft,craft,paleolithic,-1757974,-1757974,-1757974,1,0.52,0.36,0.55,stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
bone_tool,invsrc_0005,Timeline of historic inventions.wiki:21,Bone tool,worked bone tools,craft,craft,paleolithic,-1497974,-1497974,-1497974,1,0.52,0.36,0.55,stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
language,invsrc_0004,Timeline of historic inventions.wiki:20,Language,shared spoken language,communication,language,paleolithic,-947974,-1747974,-147974,1,0.7,0.44,0.88,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
hafting,invsrc_0007,Timeline of historic inventions.wiki:28,Hafting,hafted tools,craft,craft,paleolithic,-497974,-497974,-497974,1,0.52,0.36,0.72,stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
woodworking,invsrc_0008,Timeline of historic inventions.wiki:29,Woodworking,worked timber craft,craft,toolmaking,paleolithic,-472974,-497974,-447974,1,0.52,0.36,0.7,stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
boats,invsrc_0006,Timeline of historic inventions.wiki:22,Boats,dugout and skin boats,maritime,navigation,paleolithic,-467974,-897974,-37974,1,0.58,0.46,0.28,woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
hide_and_leather_clothing_footwear_and_shelter,invsrc_0010,Timeline of historic inventions.wiki:31,"Hide and leather clothing, footwear and shelter",tailored hide gear,craft,craft,paleolithic,-397974,-397974,-397974,1,0.52,0.36,0.68,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
pigment,invsrc_0011,Timeline of historic inventions.wiki:32,Pigment,mineral pigments,culture,art,paleolithic,-397974,-397974,-397974,1,0.64,0.24,0.46,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
