job_key_pattern,match_type,job_market_type,role_family,workplace,skill_level,manuality,supervision_level,class_band,personal_prosperity_01,societal_impact_01,public_prestige_01,perceived_worth_01,care_intensity_01,home_compatible,domestic_service_kind,female_mindset_affinity_01,adult_only,board_compensation_01,cash_wage_multiplier,physical_demand_01,force_authority_01,leveling_affinity_01,informal_role_01
*,default,settlement_market,labor,settlement,ordinary,mixed,peer,commoner,0.32,0.42,0.32,0.38,0.00,0,,0.50,0,0.00,1.00,0.30,0.00,0.50,0.00
child rearer,exact,household_care,care,home,skilled,mixed,self_directed,household,0.04,0.92,0.24,0.34,1.00,1,,0.82,0,0.00,0.00,0.18,0.00,0.35,0.00
parent,exact,household_care,care,home,skilled,mixed,self_directed,household,0.04,0.90,0.26,0.36,0.92,1,,0.76,0,0.00,0.00,0.18,0.00,0.35,0.00
nanny,exact,domestic_service,care,employer_household,skilled,mixed,supervised,servant,0.16,0.82,0.28,0.42,0.90,1,nanny,0.88,1,0.72,0.35,0.22,0.00,0.35,0.00
maid,exact,domestic_service,domestic,employer_household,ordinary,manual,supervised,servant,0.13,0.46,0.20,0.32,0.18,1,maid,0.70,1,0.68,0.28,0.45,0.00,0.45,0.00
servant,exact,domestic_service,domestic,employer_household,ordinary,mixed,supervised,servant,0.14,0.48,0.22,0.34,0.22,1,servant,0.68,1,0.68,0.28,0.35,0.00,0.45,0.00
household manager,exact,domestic_service,domestic,employer_household,skilled,mixed,supervisory,servant,0.22,0.60,0.36,0.48,0.32,1,household_manager,0.62,1,0.65,0.52,0.25,0.05,0.40,0.00
child watcher,contains,domestic_service,care,employer_household,ordinary,mixed,supervised,servant,0.14,0.76,0.24,0.38,0.82,1,nanny,0.86,1,0.70,0.30,0.22,0.00,0.35,0.00
care aide,exact,domestic_service,care,employer_household,ordinary,mixed,supervised,servant,0.15,0.74,0.24,0.39,0.78,1,nanny,0.84,1,0.66,0.34,0.25,0.00,0.40,0.00
midwife,exact,settlement_market,care,settlement,skilled,mixed,self_directed,commoner,0.38,0.84,0.48,0.62,0.72,1,,0.74,1,0.00,1.10,0.28,0.00,0.45,0.00
