job_key,job_family,essential_need,luxury_need,urban_scale,scarcity_resilience,saturation_curve,food_delta,stability_delta,care_delta,capacity_delta,taxability
*,labor,0.55,0.20,0.25,0.55,medium,0.00,0.00,0.00,0.00,0.60
farmer,food,0.98,0.02,0.12,0.98,steep,0.75,0.02,0.00,0.10,0.32
gatherer near camp,food,0.95,0.03,0.08,0.96,flat,0.55,0.00,0.00,0.00,0.20
hunter,food,0.88,0.08,0.10,0.92,medium,0.45,0.03,0.00,0.00,0.22
fisher,food,0.88,0.08,0.15,0.92,medium,0.48,0.02,0.00,0.00,0.22
midwife,care,0.96,0.04,0.18,0.88,steep,0.00,0.02,0.90,0.00,0.32
physician,care,0.80,0.18,0.55,0.60,steep,0.00,0.03,0.68,0.00,0.72
healer,care,0.86,0.10,0.32,0.72,medium,0.00,0.03,0.65,0.00,0.48
soldier,security,0.78,0.16,0.32,0.74,medium,0.00,0.58,0.00,0.00,0.52
guard,security,0.82,0.10,0.24,0.78,medium,0.00,0.52,0.00,0.00,0.45
scribe,admin,0.45,0.42,0.58,0.42,steep,0.00,0.10,0.00,0.02,0.85
clerk,admin,0.42,0.38,0.54,0.44,medium,0.00,0.08,0.00,0.01,0.78
smith,craft,0.72,0.20,0.35,0.72,medium,0.00,0.06,0.00,0.34,0.62
mason,craft,0.70,0.18,0.36,0.76,medium,0.00,0.04,0.00,0.42,0.55
carpenter,craft,0.68,0.22,0.34,0.74,medium,0.00,0.04,0.00,0.38,0.55
merchant,trade,0.42,0.52,0.62,0.36,medium,0.00,0.02,0.00,0.01,0.90
caravan master,trade,0.38,0.55,0.58,0.40,medium,0.00,0.03,0.00,0.02,0.88
architect,knowledge,0.36,0.54,0.70,0.35,steep,0.00,0.02,0.00,0.28,0.82
engineer,knowledge,0.42,0.46,0.66,0.45,steep,0.00,0.03,0.00,0.35,0.82
analyst,knowledge,0.24,0.62,0.78,0.22,steep,0.00,0.00,0.00,0.00,0.86
software engineer,knowledge,0.22,0.68,0.82,0.18,steep,0.00,0.00,0.00,0.02,0.88
priest,ritual,0.34,0.52,0.44,0.50,medium,0.00,0.12,0.05,0.00,0.58
courtier,prestige,0.12,0.78,0.80,0.18,steep,0.00,-0.02,0.00,0.00,0.82
guild master,prestige,0.24,0.68,0.72,0.34,steep,0.00,0.08,0.00,0.18,0.92
estate steward,admin,0.42,0.44,0.48,0.58,medium,0.06,0.08,0.00,0.12,0.76
steward,admin,0.48,0.34,0.36,0.66,medium,0.05,0.08,0.00,0.10,0.68
treasurer,admin,0.30,0.58,0.68,0.36,steep,0.00,0.08,0.00,0.02,0.94
guild treasurer,admin,0.30,0.54,0.62,0.40,steep,0.00,0.07,0.00,0.02,0.90
banker,trade,0.18,0.76,0.82,0.22,steep,0.00,0.02,0.00,0.04,0.96
moneylender,trade,0.20,0.62,0.54,0.36,medium,0.00,-0.04,0.00,0.02,0.82
shipowner,trade,0.24,0.76,0.78,0.28,steep,0.00,0.04,0.00,0.06,0.94
landholder,prestige,0.36,0.56,0.38,0.64,medium,0.08,0.04,0.00,0.08,0.74
gambler,criminal,0.03,0.36,0.42,0.56,flat,-0.03,-0.32,0.00,0.00,0.04
raider,criminal,0.05,0.30,0.22,0.72,flat,-0.08,-0.42,0.00,0.00,0.02
fraudster,criminal,0.04,0.38,0.45,0.50,flat,-0.02,-0.30,0.00,0.00,0.05
charlatan,criminal,0.03,0.40,0.44,0.48,flat,-0.02,-0.34,0.00,0.00,0.04
huckster,criminal,0.03,0.36,0.42,0.52,flat,-0.02,-0.28,0.00,0.00,0.04
con artist,criminal,0.03,0.42,0.48,0.48,flat,-0.02,-0.36,0.00,0.00,0.04
scammer,criminal,0.03,0.38,0.44,0.50,flat,-0.02,-0.32,0.00,0.00,0.04
