name,ethnic,rate
Zahringen,Alemannic,3
Hohenstaufen,Alemannic,3
Swabing,Alemannic,3
Breisgauer,Alemannic,3
Bodensee,Alemannic,3
Reichenauer,Alemannic,3
Alpgauer,Alemannic,3
Hirsauer,Alemannic,3
Welfing,Alemannic,3
Aargauer,Alemannic,3
Thurgauer,Alemannic,2
Rheingauer,Alemannic,2
Schwarzach,Alemannic,2
Altdorf,Alemannic,2
Uracher,Alemannic,2
Rottweiler,Alemannic,2
Hugoing,Alemannic,2
Hugomann,Alemannic,2
Hugowald,Alemannic,2
Hugohart,Alemannic,2
Hugobert,Alemannic,2
Immoing,Alemannic,2
Immomann,Alemannic,2
Immowald,Alemannic,2
Immohart,Alemannic,1
Immobert,Alemannic,1
Ottoing,Alemannic,1
Ottomann,Alemannic,1
Ottowald,Alemannic,1
Ottohart,Alemannic,1
Ottobert,Alemannic,1
Hattoing,Alemannic,1
Hattomann,Alemannic,1
Hattowald,Alemannic,1
Hattohart,Alemannic,1
Hattobert,Alemannic,1
Alaricing,Alemannic,1
Alaricmann,Alemannic,1
Alaricwald,Alemannic,1
Alarichart,Alemannic,1
Alaricbert,Alemannic,1
Alboining,Alemannic,1
Alboinmann,Alemannic,1
Alboinwald,Alemannic,1
Alboinhart,Alemannic,1
Alboinbert,Alemannic,1
Anselming,Alemannic,1
Anselmann,Alemannic,1
Athenaios,Ancient Greek,3
Korinthios,Ancient Greek,3
Thebaios,Ancient Greek,3
Spartaios,Ancient Greek,3
Argaios,Ancient Greek,3
Akhaios,Ancient Greek,3
Ionios,Ancient Greek,3
Aiakides,Ancient Greek,3
Alkmaionid,Ancient Greek,3
Eurypontid,Ancient Greek,3
Agiad,Ancient Greek,2
Herakleid,Ancient Greek,2
Kodrid,Ancient Greek,2
Battiad,Ancient Greek,2
Kypselid,Ancient Greek,2
Peisistratid,Ancient Greek,2
Philaid,Ancient Greek,2
Seleukid,Ancient Greek,2
Bionides,Ancient Greek,2
Bioniad,Ancient Greek,2
Bionios,Ancient Greek,2
Bioneus,Ancient Greek,2
Bionid,Ancient Greek,2
Damonides,Ancient Greek,2
Damoniad,Ancient Greek,1
Damonios,Ancient Greek,1
Damoneus,Ancient Greek,1
Damonid,Ancient Greek,1
Kleonides,Ancient Greek,1
Kleoniad,Ancient Greek,1
Kleonios,Ancient Greek,1
Kleoneus,Ancient Greek,1
Kleonid,Ancient Greek,1
Admetides,Ancient Greek,1
Admetiad,Ancient Greek,1
Admetios,Ancient Greek,1
Admeteus,Ancient Greek,1
Admetid,Ancient Greek,1
Kallides,Ancient Greek,1
Kalliad,Ancient Greek,1
Kallios,Ancient Greek,1
Kallieus,Ancient Greek,1
Kallid,Ancient Greek,1
Charitides,Ancient Greek,1
Charitiad,Ancient Greek,1
Charitios,Ancient Greek,1
Chariteus,Ancient Greek,1
Charitid,Ancient Greek,1
