Culture,Category,Original Meaning,Affix,Archaic Affix,Archaic Example,Intermediate Example,Modern Example
Alemannic,Engineering,farm,$hofen,$hofun,Bero-hofun,Berhofen,Berghofen
Alemannic,Engineering,hamlet,$wil,$wilari,Adal-wilari,Adelwil,Adelwil
Alemannic,Engineering,people,$ingen,$ingun,Suno-ingun,Suningen,Singen
Alemannic,Engineering,small farm,$wil,$wilari,Adal-wilari,Adelwil,Adelwil
Alemannic,Fortification,castle,$burg,$burg,Rapp-burg,Rappburg,Rapperswil
Alemannic,Topography,forest,$wald,$walt,Schwarz-walt,Schwarzwald,Black Forest
Alemannic,Topography,hill,$berg,$berg,Albis-berg,Albisberg,Albisberg
Alemannic,Topography,marsh clearing,$ried,$riot,Moor-riot,Moorried,Möriken
Alemannic,Topography,mountain,$berg,$berg,Albis-berg,Albisberg,Albisberg
Alemannic,Topography,reed bed,$ried,$riot,Moor-riot,Moorried,Möriken
Alemannic,Topography,stream,$ach,$aha,Dorn-aha,Dornach,Dornach
Ancient Greek,Engineering,city,$asty,$astu,Meg-astu,Megastion,Megasto
Ancient Greek,Engineering,city,$polis,$polis,Kalli-polis,Callipolis,Gallipoli
Ancient Greek,Engineering,district,$demos,$demos,Leuko-demos,Leucodemus,Leucodeme
Ancient Greek,Engineering,high city,$akropolis,$akropolis,Megale-akropolis,Megalacropolis,Megacrop
Ancient Greek,Engineering,marketplace,$agora,$agora,Kaine-agora,Cenagora,Cenagor
Ancient Greek,Engineering,settlement,$chora,$chora,Eu-chora,Euchora,Euchor
Ancient Greek,Engineering,settlement,$kome,$kome,Nea-kome,Neakome,Neacombe
Ancient Greek,Engineering,town,$and,$anda,Alab-anda,Alabanda,Alaband
Ancient Greek,Engineering,town,$asty,$astu,Meg-astu,Megastion,Megasto
Ancient Greek,Engineering,town,$ind,$inda,Lar-inda,Larinda,Larind
Ancient Greek,Engineering,town,$mnos,$mn,Kalyd-mn,Kalymnos,Calymnos
Ancient Greek,Engineering,tribe,$phyle,$phyle,Asty-phyle,Astyphyle,Astifil
Ancient Greek,Engineering,village,$kome,$kome,Nea-kome,Neakome,Neacombe
Ancient Greek,Fortification,fortified town,$nthos,$nthos,Zaky-nthos,Zakynthos,Zante
Ancient Greek,Fortification,fortified town,$ssos,$ssos,Parna-ssos,Parnassos,Parnassus
Ancient Greek,Fortification,fortified town,$ttos,$ttos,Hymet-tos,Hymettos,Hymettus
Ancient Greek,Fortification,tower,$pyrgos,$pyrgos,Petra-pyrgos,Petropyrgos,Petropurg
Ancient Greek,Sacred,sacred grove,$alsos,$alsos,Hiera-alsos,Hieralsos,Hieralse
Ancient Greek,Sacred,sacred place,$hieron,$hieron,Apollo-hieron,Apollonhieron,Apollonier
Ancient Greek,Sacred,sacred place,$temenos,$temenos,Dios-temenos,Diostemenos,Dostemen
Ancient Greek,Sacred,sanctuary,$alsos,$alsos,Hiera-alsos,Hieralsos,Hieralse
Ancient Greek,Sacred,sanctuary,$hieron,$hieron,Apollo-hieron,Apollonhieron,Apollonier
Ancient Greek,Sacred,sanctuary,$temenos,$temenos,Dios-temenos,Diostemenos,Dostemen
Ancient Greek,Topography,harbor,$limen,$limen,Kalos-limen,Calolimen,Calimen
Ancient Greek,Topography,headland,$akra,$akra,Leuk-akra,Leucacra,Leucra
Ancient Greek,Topography,headland,$cra,$akra,Leuk-akra,Leucacra,Leucra
Ancient Greek,Topography,island,$nesos,$nesos,Makra-nesos,Macronessos,Macronese
Ancient Greek,Topography,land,$chora,$chora,Eu-chora,Euchora,Euchor
