species,ethnic,rate,maturity,prime,middleaged,elder,lifespan,mheight,mbmi,mskin,mhair,meyes,fheight,fbmi,fskin,fhair,feyes
Dwarf,Old Norse,0,40,60,90,140,200,134,38,light,brown;auburn;gray;white,amber;blue;brown;gray;green;hazel,129,36,light,brown;auburn;gray;white,amber;blue;brown;gray;green;hazel
Gnome,Old English,0,40,65,95,150,220,106,19,light;dark,blond;auburn;black;brown;red;gray;white;orange;purple,amber;blue;brown;gray;green;hazel,97,18,light;dark,blond;auburn;black;brown;red;gray;white;orange;purple,amber;blue;brown;gray;green;hazel
Goblin,Exotic,0,12,18,55,88,150,100,21,light green;dark green,white,red,92,20,light green;dark green,white,red
Half-Dragon,Middle Scots,0,30,45,60,100,130,180,32,light;dark,blond;auburn;red;gray;white,amber;blue;brown;gray;green;hazel,160,30,light;dark,blond;auburn;red;gray;white,amber;blue;brown;gray;green;hazel
Half-Dwarf,Middle German,0,30,45,60,100,130,152,29,light,brown;auburn;gray;white,amber;blue;brown;gray;green;hazel,140,28,light,brown;auburn;gray;white,amber;blue;brown;gray;green;hazel
Half-Gnome,Middle Dutch,0,30,45,60,100,130,125,22,light;dark,blond;auburn;black;brown;red;gray;white;orange;purple,amber;blue;brown;gray;green;hazel,117,21,light;dark,blond;auburn;black;brown;red;gray;white;orange;purple,amber;blue;brown;gray;green;hazel
Half-Orc,Middle English,0,16,24,44,66,100,190,33,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,180,31,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Alemannic,1,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Ancient Greek,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray
Human,Anglo-Norman,20,16,24,44,66,100,178,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,164,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Aquitanian/Vasconic,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Basque,2,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Bavarian,1,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Burgundian,1,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Celtiberian,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Cisalpine Celtic,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Cornish,5,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Cumbric,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Curonian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
