world,continent_id,continent_name,map_size,map_placement,map_shape,keywords
default,aeria,Aeria,huge,west,ragged_maritime,"mid-latitude maritime; moderate rainfall; ancient uplands; atlantic influence"
default,boreas,Boreas,medium,northeast,shield_fjord,"high latitude; cold humid; boreal shield; low coastal mountains"
default,cyrene,Cyrene,large,south,arid_rift,"subtropical; interior aridity; monsoon margins; old craton edge"
default,thalassa,Thalassa,small,southeast,coral_archipelago,"warm sea; scattered islets; reef lagoons; trade-wind rains"
default,helios,Helios,small,southwest,sun_baked_littoral,"dry subtropical; terraced slopes; fig and olive margins; bright coasts"
default,skolia,Skolia,small,central,fractured_highland,"temperate interior; folded hills; oak woods; crossroads valleys"
default,leuke,Leuke,island,northwest,chalk_atoll,"cool sea; white cliffs; short turf; gull rookeries"
default,oreia,Oreia,island,north,verdant_islet,"misty latitude; deep coves; fern slopes; lone beacon"
default,aigila,Aigila,island,northeast,basalt_stack,"stormy headlands; goat pastures; black stacks; kelp lanes"
default,antikyra,Antikyra,island,east,wind_scoured_rock,"exposed shoals; sea thrift; wreck coves; pilot marks"
default,melite,Melite,island,southeast,honey_scrub_isle,"warm current; thyme scrub; apiary smoke; reef pools"
default,nesos,Nesos,island,southwest,limestone_skerry,"pale stone; tide caves; salt racks; lobster pots"
