world,from_region_id,to_region_id,route_type,friction,bidirectional
default,aeria_north,aeria_granite_range,land,2,1
default,aeria_north,aeria_westwater_river,land,2,1
default,aeria_granite_range,aeria_slate_range,land,3,1
default,aeria_granite_range,aeria_midland_basin,land,2,1
default,aeria_slate_range,aeria_south,land,2,1
default,aeria_slate_range,aeria_eastwater_river,land,2,1
default,aeria_westwater_river,aeria_midland_basin,land,2,1
default,aeria_westwater_river,aeria_south,land,3,1
default,aeria_eastwater_river,aeria_midland_basin,land,2,1
default,aeria_eastwater_river,aeria_port,land,2,1
default,aeria_midland_basin,aeria_granite_range,land,2,1
default,aeria_midland_basin,aeria_port,land,2,1
default,aeria_midland_basin,aeria_westwater_river,land,2,1
default,aeria_south,aeria_eastwater_river,land,2,1
default,aeria_south,aeria_port,land,2,1
default,aeria_port,aeria_north,land,3,1
default,aeria_port,aeria_eastwater_river,land,2,1
default,boreas_fjord_shore,boreas_glacier_alps,land,3,1
default,boreas_fjord_shore,boreas_peat_river,land,2,1
default,boreas_glacier_alps,boreas_quartz_range,land,3,1
default,boreas_glacier_alps,boreas_west,land,2,1
default,boreas_quartz_range,boreas_east,land,2,1
default,boreas_quartz_range,boreas_clear_river,land,2,1
default,boreas_peat_river,boreas_boreal_deep,land,2,1
default,boreas_peat_river,boreas_clear_river,land,2,1
default,boreas_clear_river,boreas_port,land,3,1
default,boreas_clear_river,boreas_east,land,2,1
default,boreas_boreal_deep,boreas_west,land,2,1
default,boreas_boreal_deep,boreas_peat_river,land,3,1
default,boreas_west,boreas_quartz_range,land,2,1
default,boreas_west,boreas_boreal_deep,land,2,1
default,boreas_east,boreas_port,land,3,1
default,boreas_east,boreas_clear_river,land,2,1
default,boreas_port,boreas_fjord_shore,land,3,1
default,boreas_port,boreas_clear_river,land,2,1
default,cyrene_delta_mouth,cyrene_grand_channel,land,2,1
default,cyrene_delta_mouth,cyrene_leeward_littoral,land,2,1
default,cyrene_grand_channel,cyrene_white_fork,land,2,1
default,cyrene_grand_channel,cyrene_river,land,2,1
default,cyrene_white_fork,cyrene_rift_highlands,land,3,1
default,cyrene_white_fork,cyrene_salt_steppe,land,3,1
default,cyrene_rift_highlands,cyrene_inland,land,2,1
default,cyrene_rift_highlands,cyrene_salt_steppe,land,2,1
default,cyrene_salt_steppe,cyrene_inland,land,2,1
default,cyrene_leeward_littoral,cyrene_port,land,2,1
default,cyrene_leeward_littoral,cyrene_grand_channel,land,3,1
default,cyrene_river,cyrene_delta_mouth,land,2,1
default,cyrene_river,cyrene_white_fork,land,2,1
default,cyrene_inland,cyrene_rift_highlands,land,3,1
default,cyrene_inland,cyrene_salt_steppe,land,2,1
default,cyrene_port,cyrene_delta_mouth,land,2,1
default,cyrene_port,cyrene_grand_channel,land,3,1
default,aeria_port,boreas_port,sea,18,1
default,boreas_port,cyrene_port,sea,22,1
