metric	value
scenario_count	2
birth_settlement_spinoff_disabled_scenarios	0
distinct_target_count	1
distinct_seed_count	2
total_event_year_span	100
total_detailed_person_years	34998
total_report_non_detailed_alive_people	0
total_genome_scored_detailed_people	2353
total_high_variance_detail_people	1568
total_extreme_detail_people	167
weighted_average_detail_variance_score	0.714200
total_serial_predator_profile_people	8
serial_predator_profile_share_of_scored_detailed	0.003400
serial_predator_profile_min_scored_sample	100
serial_predator_profile_sample_remaining	0
serial_predator_profile_sample_ready	yes
serial_predator_profile_target_share_max	0.020000
serial_predator_profile_calibration_status	serial_predator_profiles_present
weighted_average_serial_predator_propensity	0.099068
max_serial_predator_propensity	0.769639
total_murder_events	16
murder_rate_min_murder_sample	10
murder_rate_murder_sample_remaining	0
murder_rate_sample_ready	yes
weighted_murder_target_per_10k_per_year	4.000000
murder_per_10k_detailed_person_years	4.571690
murder_rate_target_ratio	1.142922
murder_rate_calibration_status	within_target_band
total_serial_predator_candidate_events	1
serial_candidate_share_of_murders	0.062500
total_serial_murder_killers_3plus	0
total_serial_murder_events_by_3plus_killers	0
serial_murder_event_share_3plus	0.000000
serial_murder_target_share_max	0.010000
serial_murder_min_murder_sample	100
serial_murder_sample_remaining	84
serial_murder_sample_ready	no
murder_sample_projection_rate_per_10k	4.571690
murder_sample_projection_rate_source	observed
serial_murder_sample_projected_additional_detailed_person_years	183740
serial_murder_sample_projected_additional_scenarios	11
serial_murder_calibration_status	insufficient_murder_sample
serial_murder_emergence_min_murder_sample	500
serial_murder_emergence_sample_remaining	484
serial_murder_emergence_sample_ready	no
serial_murder_emergence_projected_additional_detailed_person_years	1058690
serial_murder_emergence_projected_additional_scenarios	61
serial_murder_emergence_status	insufficient_emergence_sample
hybrid_calibration_ready	no
hybrid_calibration_status	needs_more_serial_guardrail_sample
recommended_next_calibration_reason	reach_serial_guardrail_sample
recommended_next_calibration_stop_flag	--stop-after-total-murders
recommended_next_calibration_stop_value	100
recommended_next_calibration_resume_flag	--resume-existing
